Sat1.Earth.RadPer         Sat1.Earth.RadApo         Sat1.Earth.Energy         Sat1.Earth.OrbitPeriod    Sat1.Earth.HMAG           Sat1.EarthMJ2000Eq.HX     Sat1.EarthMJ2000Eq.HY     Sat1.EarthMJ2000Eq.HZ     Sat1.EarthMJ2000Eq.X      Sat1.EarthMJ2000Eq.Y      Sat1.EarthMJ2000Eq.Z      Sat1.EarthMJ2000Eq.VX     Sat1.EarthMJ2000Eq.VY     Sat1.EarthMJ2000Eq.VZ     
28000.00000004231         52000.00000001863         -4.982505518746205        79616.11243398135         120453.5432049056         3.637978807091713e-12     -92272.76742610974        77426.04511495555         27061.91724648027         -5280.711477928525        -6293.306875274806        0.9612621743587282        2.673494869508215         3.186147115518607         
28000.00000004224         52000.00000002366         -4.982505518745896        79616.11243398876         120453.5432049076         0                         -92272.76742611124        77426.04511495678         27659.36750924941         -3194.108429546356        -3806.590196047324        0.5851405454749185        2.731698139551434         3.255511071693344         
28000.00000004199         52000.00000002912         -4.982505518745571        79616.11243399653         120453.5432049094         -1.818989403545857e-12    -92272.76742611265        77426.04511495798         27959.64959339171         -1101.406390483084        -1312.605022764438        0.2024195912907729        2.761232705212385         3.290708996425493         
28000.00000004199         52000.00000002913         -4.982505518745571        79616.11243399653         120453.5432049095         -1.618384930463044e-12    -92272.76742611267        77426.04511495799         28000.00000004199         -7.643327840867187e-06    -9.108962828463518e-06    1.406094130018687e-09     2.765215896958639         3.295455979499082         
28000.00000004198         52000.00000002908         -4.982505518745574        79616.11243399644         120453.5432049094         -1.591615728102624e-12    -92272.76742611265        77426.04511495796         27999.08485552315         165.9111386258733         197.7251955087814         -0.03050450298261336      2.765125520267235         3.295348272752415         
28000.00000004199         52000.00000002916         -4.982505518745569        79616.11243399659         120453.5432049094         -2.728484105318785e-12    -92272.76742611265        77426.04511495798         27985.36449472795         663.433378572934          790.6491123612105         -0.1219612564226757       2.763770754571563         3.293733725867474         
28000.00000004197         52000.0000000295          -4.982505518745549        79616.11243399707         120453.5432049096         -9.094947017729282e-13    -92272.76742611274        77426.04511495806         27829.25585450986         2263.821312090689         2697.917181675421         -0.4154713094509179       2.748384387635935         3.275396967794967         
28000.00000004187         52000.00000003271         -4.982505518745356        79616.1124340017          120453.5432049108         -1.818989403545857e-12    -92272.76742611366        77426.04511495882         27390.4384550824          4265.609291245301         5083.555197444836         -0.779195757271531        2.705407603261366         3.224179230618428         
28000.00000004192         52000.00000003592         -4.982505518745152        79616.1124340066          120453.5432049121         0                         -92272.76742611472        77426.04511495971         26662.2628019299          6290.089316540561         7496.23654072568          -1.140168316788271        2.634970823308611         3.140235945058964         
28000.00000004223         52000.00000003797         -4.982505518745006        79616.11243401011         120453.5432049134         -3.637978807091713e-12    -92272.76742611569        77426.04511496052         25651.42172471878         8280.668871896824         9868.516877166096         -1.48513187513697         2.538968815248624         3.025825207057216         
